N,phi,K,D,E_per_N_LJ,f_rms,fmax,steps,time_s,status,lammps_bitzek,lammps_default
1000000,0.88,2,2,2.3028269170e+00,9.959939e-07,0.000000e+00,8200,705.4,converged,,
1000000,0.88,2,3,1.1133117953e+03,2.904452e+00,0.000000e+00,4000,369.1,diverged,,
1000000,0.88,2,5,1.1137824797e+03,2.903873e+00,0.000000e+00,4000,270.8,diverged,,
1000000,0.88,2,8,1.1140545858e+03,2.903410e+00,0.000000e+00,4000,307.2,diverged,,
1000000,0.88,4,0,2.3606198655e+00,7.862668e-07,0.000000e+00,15000,1015.9,converged,,
1000000,0.88,4,1,2.3606198655e+00,7.862668e-07,0.000000e+00,15000,1013.8,converged,,
1000000,0.88,4,2,2.3464891540e+00,6.704085e-07,0.000000e+00,19000,1944.9,converged,,
1000000,0.88,4,3,2.2951306345e+00,3.460383e-07,0.000000e+00,10400,963.3,converged,,
1000000,0.88,4,5,1.1141217799e+03,2.905735e+00,0.000000e+00,4000,335.6,diverged,,
1000000,0.88,4,8,1.1125757239e+03,2.902536e+00,0.000000e+00,4000,282.1,diverged,,
1000000,0.88,8,0,2.3663663595e+00,9.858812e-07,0.000000e+00,16200,1143.2,converged,,
1000000,0.88,8,1,2.3663663595e+00,9.858812e-07,0.000000e+00,16200,1606.9,converged,,
1000000,0.88,8,2,2.3651387956e+00,8.300339e-07,0.000000e+00,12600,609.7,converged,,
1000000,0.88,8,3,2.3364152357e+00,6.455937e-07,0.000000e+00,13200,881.7,converged,,
1000000,0.88,8,8,1.1120263928e+03,2.900331e+00,0.000000e+00,4000,272.5,diverged,,
1000000,0.88,16,0,2.3716939557e+00,9.283875e-07,0.000000e+00,15000,1327.0,converged,,
1000000,0.88,16,1,2.3716939557e+00,9.283875e-07,0.000000e+00,15000,1105.3,converged,,
1000000,0.88,16,2,2.3699562665e+00,9.193511e-07,0.000000e+00,12200,1947.0,converged,,
1000000,0.88,16,3,2.3535522234e+00,4.639644e-07,0.000000e+00,12200,731.1,converged,,
1000000,0.88,16,5,2.1543157666e+00,2.601561e-03,0.000000e+00,499999,36726.5,max_steps,,
1000000,0.88,16,8,1.1123593020e+03,2.899317e+00,0.000000e+00,4000,381.2,diverged,,
1000000,0.88,32,0,2.3858454457e+00,8.440907e-07,0.000000e+00,18600,824.0,converged,,
1000000,0.88,32,1,2.3858454457e+00,8.440907e-07,0.000000e+00,18600,1270.7,converged,,
1000000,0.88,32,2,2.3789407250e+00,6.460249e-07,0.000000e+00,21000,1730.1,converged,,
1000000,0.88,32,3,2.3745437221e+00,9.916624e-07,0.000000e+00,19800,1365.7,converged,,
1000000,0.88,32,5,2.3476051678e+00,2.741197e-03,0.000000e+00,499999,27371.6,max_steps,,
1000000,0.88,32,8,1.6811760705e+02,8.750446e-01,0.000000e+00,4000,494.4,diverged,,
1000000,0.9,1,0,5.6905685727e+00,9.352357e-07,0.000000e+00,9800,682.1,converged,,
1000000,0.9,1,1,5.6905685727e+00,9.352357e-07,0.000000e+00,9800,887.5,converged,,
1000000,0.9,1,2,1.1381209403e+03,2.967327e+00,0.000000e+00,4000,397.0,diverged,,
1000000,0.9,1,3,1.1384150686e+03,2.968098e+00,0.000000e+00,4000,299.1,diverged,,
1000000,0.9,1,5,1.1377630022e+03,2.967232e+00,0.000000e+00,4000,285.6,diverged,,
1000000,0.9,1,8,1.1394881312e+03,2.969467e+00,0.000000e+00,4000,569.7,diverged,,
1000000,0.9,2,0,5.7308898760e+00,8.917782e-07,0.000000e+00,13400,905.6,converged,,
1000000,0.9,2,1,5.7308898760e+00,8.917782e-07,0.000000e+00,13400,596.6,converged,,
1000000,0.9,2,2,5.6657547215e+00,9.144203e-07,0.000000e+00,5800,436.9,converged,,
1000000,0.9,2,3,5.5074949339e+00,6.812072e-07,0.000000e+00,6000,432.0,converged,,
1000000,0.9,2,5,1.1398224121e+03,2.972595e+00,0.000000e+00,4000,343.0,diverged,,
1000000,0.9,2,8,1.1446909045e+03,2.982383e+00,0.000000e+00,4000,295.1,diverged,,
1000000,0.9,4,0,5.7609030691e+00,3.854868e-07,0.000000e+00,13600,719.7,converged,,
1000000,0.9,4,1,5.7609030691e+00,3.854868e-07,0.000000e+00,13600,1158.8,converged,,
1000000,0.9,4,2,5.7524954731e+00,9.979827e-07,0.000000e+00,12600,1223.4,converged,,
1000000,0.9,4,3,5.6839600722e+00,8.177168e-07,0.000000e+00,9200,629.6,converged,,
1000000,0.9,4,5,1.1373598153e+03,2.965775e+00,0.000000e+00,4000,363.0,diverged,,
1000000,0.9,4,8,1.1379709046e+03,2.968013e+00,0.000000e+00,4000,276.6,diverged,,
1000000,0.9,8,0,5.7884531082e+00,6.126776e-07,0.000000e+00,10800,804.0,converged,,
1000000,0.9,8,1,5.7884531082e+00,6.126776e-07,0.000000e+00,10800,1303.2,converged,,
1000000,0.9,8,2,5.7642628106e+00,8.574642e-07,0.000000e+00,14600,1059.2,converged,,
1000000,0.9,8,3,5.7260573317e+00,7.212745e-07,0.000000e+00,9400,770.8,converged,,
1000000,0.9,8,5,5.4172779394e+00,3.559826e-03,0.000000e+00,499999,35792.2,max_steps,,
1000000,0.9,8,8,1.1390052515e+03,2.968684e+00,0.000000e+00,4000,369.2,diverged,,
1000000,0.9,16,0,5.7885454782e+00,8.560603e-07,0.000000e+00,11400,1145.2,converged,,
1000000,0.9,16,1,5.7885454782e+00,8.560603e-07,0.000000e+00,11400,1019.6,converged,,
1000000,0.9,16,2,5.7732993927e+00,9.688823e-07,0.000000e+00,10600,469.0,converged,,
1000000,0.9,16,3,5.7708379793e+00,8.364977e-07,0.000000e+00,7600,532.0,converged,,
1000000,0.9,16,8,1.8509607305e+02,9.195001e-01,0.000000e+00,4000,273.4,diverged,,
1000000,0.9,32,0,5.8133826286e+00,7.294211e-07,0.000000e+00,15600,1719.6,converged,,
1000000,0.9,32,1,5.8133826286e+00,7.294211e-07,0.000000e+00,15600,1054.6,converged,,
1000000,0.9,32,2,5.7894060387e+00,9.527751e-07,0.000000e+00,13600,714.5,converged,,
1000000,0.9,32,3,5.7832577511e+00,9.669984e-07,0.000000e+00,12400,1147.7,converged,,
1000000,0.9,32,5,5.7582247800e+00,3.515149e-03,0.000000e+00,499999,37275.4,max_steps,,
1000000,0.9,32,8,1.1402251979e+03,2.970107e+00,0.000000e+00,10000,977.4,diverged,,
